
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 28.02.22-01:32:33#
58, -6.25000464549378
59, -6.250004507272098
60, -1.5747308908995017
61, -1.5625023463943781
62, -1.563271528884615
63, -6.250005064587656
64, -24.99999671605483
65, -6.262214644031169
66, -24.999989853325673
67, -6.2500030622335245
68, -24.999996809187085
69, -6.250006461573849
70, -0.006103516732226028
71, -24.999999556578135
72, -6.250000035083332
73, -1.5625000075371809
74, -0.3910065724403733
75, -24.999999975841458
76, -24.975591774743698
77, -6.250000014967781
78, -1.562500008211497
79, -24.999999999893028
80, -6.250000012345878
81, -21.972656226851484
82, -6.2500000116936
83, -24.999999966940916
84, -24.999999993134292
85, -24.999999976589713
86, -24.999999976703364
87, -0.3906250008604939
88, -6.250005972115625
89, -24.99999999313415
90, -24.999999993861888
91, -1.5625000020795077
92, -24.805068963003375
93, -0.09765625001415923
94, -6.250000003374565
95, -24.999999806869795
96, -0.007724762069190906
97, -1.562500025062007
98, -24.99999999934195
99, -6.250000000106824
100, -1.5625000020802204
