
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 28.02.22-12:56:27#
4, 2.86
5, 2.752
6, 2.707
7, 2.679
8, 2.399
9, 2.434
10, 2.46
11, 2.305
12, 2.319
13, 2.293
14, 2.314
15, 2.294
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 01.03.22-21:14:57#
0, 164.606
1, 149.569
2, 142.015
3, 146.283
4, 122.119
5, 157.417
6, 123.713
7, 171.966
8, 161.091
9, 156.602
10, 166.019
11, 175.412
12, 178.031
13, 177.913
14, 154.901
15, 178.811
