
#GA 4.1.0RePy - GRAPH 'e_quality' OPENED, 09.03.22-18:21:07#
83, 8.50430327300923e-05
84, 8.50430327300923e-05
85, 8.50430327300923e-05
86, 8.50430327300923e-05
87, 8.50430327300923e-05
88, 8.50430327300923e-05
89, 8.50430327300923e-05
90, 8.50430327300923e-05
91, 8.50430327300923e-05
92, 8.50430327300923e-05
93, 8.50430327300923e-05
94, 8.50430327300923e-05
95, 8.50430327300923e-05
96, 8.50430327300923e-05
97, 8.50430327300923e-05
98, 8.50430327300923e-05
99, 8.50430327300923e-05
100, 8.50430327300923e-05
101, 8.50430327300923e-05
#GA 4.1.0RePy - GRAPH 'e_quality' OPENED, 09.03.22-18:21:08#
0, 0.8529615519493475
1, 0.08214679191880965
2, 0.08214679191880965
3, 0.08214679191880965
4, 0.0396061647598874
5, 0.0396061647598874
6, 0.0396061647598874
7, 0.0396061647598874
8, 0.0396061647598874
9, 0.03035654052587193
10, 0.02737525668185041
11, 0.01269816698820595
12, 0.009793326319672096
13, 0.000964139550839036
14, 0.000964139550839036
15, 0.000964139550839036
16, 0.000964139550839036
17, 0.000964139550839036
18, 0.000964139550839036
19, 0.000276150971449455
20, 0.000276150971449455
21, 0.000276150971449455
22, 0.000276150971449455
23, 0.000276150971449455
24, 0.000276150971449455
25, 0.000276150971449455
26, 0.000276150971449455
27, 0.000276150971449455
28, 0.000276150971449455
29, 0.000276150971449455
30, 0.000276150971449455
31, 0.000276150971449455
32, 0.000276150971449455
33, 0.000276150971449455
34, 0.000276150971449455
35, 0.000276150971449455
36, 0.000276150971449455
37, 0.000276150971449455
38, 0.000276150971449455
39, 0.000276150971449455
40, 0.000276150971449455
41, 0.000276150971449455
42, 0.000276150971449455
43, 0.000276150971449455
44, 0.000276150971449455
45, 0.000276150971449455
46, 0.000276150971449455
47, 0.000276150971449455
48, 0.000276150971449455
49, 0.000276150971449455
50, 0.000276150971449455
51, 0.000276150971449455
52, 0.000276150971449455
53, 0.000276150971449455
54, 0.000276150971449455
55, 0.000276150971449455
56, 0.000276150971449455
57, 0.000276150971449455
58, 0.000276150971449455
59, 0.000276150971449455
60, 0.000276150971449455
61, 0.000276150971449455
62, 0.000276150971449455
63, 0.000276150971449455
64, 0.000276150971449455
65, 0.000276150971449455
66, 0.000276150971449455
67, 0.000276150971449455
68, 0.000276150971449455
69, 0.000276150971449455
70, 0.000276150971449455
71, 0.000276150971449455
72, 0.000276150971449455
73, 0.000276150971449455
74, 0.000276150971449455
75, 0.000276150971449455
76, 0.000276150971449455
77, 0.000276150971449455
78, 0.000276150971449455
79, 0.000276150971449455
80, 0.000276150971449455
81, 0.000276150971449455
82, 0.000276150971449455
83, 0.000276150971449455
84, 0.000276150971449455
85, 0.000276150971449455
86, 0.000276150971449455
87, 0.000276150971449455
88, 0.000276150971449455
89, 0.000276150971449455
90, 0.000276150971449455
91, 0.000276150971449455
92, 0.000276150971449455
93, 0.000276150971449455
94, 0.000276150971449455
95, 0.000276150971449455
96, 0.000276150971449455
97, 0.000276150971449455
98, 0.000276150971449455
99, 0.000276150971449455
100, 0.000276150971449455
101, 0.000276150971449455
#GA 4.1.0RePy - GRAPH 'e_quality' OPENED, 09.03.22-18:21:08#
0, 0.13695654874351348
1, 0.13695654874351348
2, 0.13695654874351348
3, 0.13695654874351348
4, 0.13695654874351348
5, 0.13695654874351348
6, 0.13695654874351348
7, 0.13695654874351348
8, 0.021068694704112066
9, 0.011513297768145735
10, 0.011513297768145735
11, 0.011513297768145735
12, 0.011513297768145735
13, 0.011513297768145735
14, 0.0063533834227241905
15, 0.0038689802193728915
16, 0.0038689802193728915
17, 0.0038689802193728915
18, 0.002416559885105929
19, 0.002416559885105929
20, 0.0003525941469371863
21, 0.0003525941469371863
22, 0.000276150971449455
23, 0.000276150971449455
24, 0.000276150971449455
25, 0.000276150971449455
26, 0.000276150971449455
27, 0.000276150971449455
28, 0.000276150971449455
