
#GA 4.1.0RePy - GRAPH 'max_max_quality' OPENED, 28.02.22-01:38:29#
244, -0.0
245, -0.0
246, -0.0
247, -0.0
248, -0.0
249, -0.0
250, -0.0
251, -0.0
252, -0.0
253, -0.0
254, -0.0
255, -0.0
256, -0.0
257, -0.0
258, -0.0
259, -0.0
260, -0.0
261, -0.0
262, -0.0
263, -0.0
264, -0.0
265, -0.0
266, -0.0
267, -0.0
268, -0.0
269, -0.0
270, -0.0
271, -0.0
272, -0.0
273, -0.0
274, -0.0
275, -0.0
276, -0.0
277, -0.0
278, -0.0
279, -0.0
280, -0.0
281, -0.0
282, -0.0
283, -0.0
284, -0.0
285, -0.0
286, -0.0
287, -0.0
288, -0.0
289, -0.0
290, -0.0
291, -0.0
292, -0.0
293, -0.0
294, -0.0
295, -0.0
296, -0.0
297, -0.0
298, -0.0
299, -0.0
300, -0.0
301, -0.0
302, -0.0
303, -0.0
304, -0.0
305, -0.0
#GA 4.1.0RePy - GRAPH 'max_max_quality' OPENED, 28.02.22-12:56:27#
0, -1.6733434061988058e-05
1, -1.6733434061988058e-05
2, -1.6733434061988058e-05
3, -1.6733434061988058e-05
4, -1.6733434061988058e-05
5, -1.6733434061988058e-05
6, -1.6733434061988058e-05
7, -1.6733434061988058e-05
8, -1.6733434061988058e-05
9, -1.6733434061988058e-05
10, -1.6733434061988058e-05
11, -1.6733434061988058e-05
12, -1.6733434061988058e-05
13, -1.6733434061988058e-05
14, -9.459174949701062e-06
15, -6.063056452252037e-07
16, -8.320072931516415e-08
17, -8.320072931516415e-08
18, -8.320072931516415e-08
19, -8.320072931516415e-08
20, -8.320072931516415e-08
21, -2.7844115324198444e-08
22, -2.784191117036112e-08
23, -2.7788110224687234e-08
24, -2.764546440708462e-08
25, -2.699891817676364e-08
26, -2.699891817676364e-08
27, -1.9882286534822436e-10
28, -1.988220278628413e-10
29, -1.988220278628413e-10
30, -1.988220278628413e-10
31, -1.9672733827195512e-10
32, -1.6662584349842443e-10
33, -1.6662584349842443e-10
34, -1.1367822682678733e-11
35, -1.1367822682678733e-11
36, -1.1306873171637094e-11
37, -1.1306873171637094e-11
38, -1.1306873171637094e-11
39, -1.094960264045611e-11
40, -7.768568769004349e-12
41, -7.768510717596073e-12
42, -7.755550477385525e-12
43, -1.0021386451285648e-12
44, -1.0005540640834874e-12
45, -9.981318300237104e-13
46, -9.796297755568079e-13
47, -1.6242433901978977e-13
48, -1.6242433901978977e-13
49, -1.5539129050990996e-13
50, -1.0543883099034633e-14
51, -1.0543883099034633e-14
52, -1.0543883099034633e-14
53, -8.717991680234722e-15
54, -8.717991680234722e-15
55, -8.717991680234722e-15
56, -8.717991680234722e-15
57, -8.717991680234722e-15
58, -8.717991514375953e-15
59, -3.503957619221932e-16
60, -3.503957619221932e-16
61, -3.503957619221932e-16
62, -3.503957619221932e-16
63, -2.3337029642560658e-17
64, -2.3337029642560658e-17
65, -2.3337029642560658e-17
66, -2.3337029642560658e-17
67, -2.3249282691283253e-17
68, -2.3249282691283253e-17
69, -2.3205449800934764e-17
70, -2.3205449800934764e-17
71, -2.3205449800934764e-17
72, -1.7642750752781094e-18
73, -1.7642750752781094e-18
74, -1.7642750752781094e-18
75, -1.764230245746226e-18
