
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
57, -106.34825415397476
58, -225.01702346298842
57, -224.98569636536843
57, -225.08114279114002
57, -100.00104905132049
58, -106.34471198458785
57, -100.00743883968005
57, -100.00286116076066
58, -106.34795745804725
57, -101.5696622589019
58, -100.02075147971843
58, -106.34785909236966
58, -100.00133515252402
59, -225.01702346298842
58, -100.00514991636479
58, -112.86855244036146
58, -106.23924134484353
59, -99.99990464159511
58, -100.05157318308352
58, -100.00210431584316
59, -103.56584009880872
58, -100.19731680997951
59, -100.14791907172697
59, -100.00038147038595
59, -100.00362404073272
60, -100.00896476224212
59, -100.00257494295968
59, -100.00494701043831
59, -100.38724024236787
59, -100.00066757959304
60, -106.34471224470383
59, -100.39072113606946
60, -100.00638665016483
59, -103.5167522771058
60, -100.01693582566254
60, -100.04912030466375
60, -99.99990616954912
61, -125.00362405544382
60, -100.00514993164433
60, -101.5506310355999
60, -112.89813609024714
61, -100.00019073788735
60, -100.0010490469549
60, -99.99904632816197
61, -100.00143055433463
60, -100.78382977347646
61, -100.0123566602622
61, -106.25022649800826
61, -112.87787070429152
62, -100.01472933073694
61, -100.00515358018022
61, -100.4191019019754
61, -100.02002822450525
62, -100.00028939023822
61, -100.00028611186737
61, -100.00248012595529
62, -126.56585279576552
61, -100.78344680871965
62, -100.00486377296062
62, -100.00838429087537
62, -100.00059656283709
63, -100.40008466709237
62, -124.99866485841267
62, -125.00867869212064
62, -106.24998811680946
63, -100.00859726256272
62, -100.04864335563752
62, -112.88840846106149
63, -106.3495323660874
62, -106.34825248413931
63, -112.89246157736096
63, -100.01426473230848
63, -100.00057220615872
64, -101.57424546173881
63, -99.99904632888956
63, -112.89935240876257
63, -106.34707234557402
64, -100.00249674263709
63, -100.00725464664274
63, -101.5623241662567
64, -100.39158026259241
63, -100.02546475091404
64, -103.15125739269897
64, -99.68763147993836
64, -100.00782834844561
65, -106.35661946390961
64, -100.01287503030278
64, -99.9998092661599
64, -100.39310907189619
65, -100.00019074334433
64, -99.99990464159511
65, -156.25137091259944
64, -100.00133514979554
64, -100.00219346541147
65, -101.56889335533494
65, -100.00091219193382
65, -100.0040055039109
66, -125.00724813371602
65, -100.00105472985244
65, -100.00743880621057
65, -100.02460636217464
66, -124.99799729093868
65, -100.00247957116247
66, -114.05991615692277
65, -106.25010728994653
65, -100.00057220597682
66, -158.3073066670763
66, -100.0503573420537
66, -125.00014305187506
67, -225.01244753284877
66, -100.00514992254935
66, -99.99952316331928
67, -106.25027418199693
66, -100.00247960554144
67, -100.00171662934466
66, -106.25098944037177
66, -100.00209810852998
66, -200.0008583087265
67, -125.00019073513613
67, -100.78598920850986
67, -100.00057221416229
68, -100.01545014959109
67, -99.99904643530066
67, -100.0001908039168
68, -225.00271798280667
67, -112.89165097611088
68, -199.90322552810025
67, -100.00143052122895
67, -100.78296810818514
67, -101.76405349394513
68, -100.88529765246481
68, -101.25539412281435
68, -99.99990463250015
69, -225.00844014311974
68, -100.014305640003
68, -100.01049077138825
69, -100.00028638235162
68, -101.55906978209691
69, -100.00066757377226
68, -100.00247957116247
68, -100.00591353739453
68, -100.00105482116588
69, -100.78296810709375
69, -100.00435025999482
69, -100.00057220615872
70, -100.0276585079783
69, -99.99904632707057
70, -100.09756106876493
69, -100.00438702293216
69, -100.39029197253167
70, -100.02470617267825
69, -100.00019073625026
69, -100.0002861031362
69, -100.39129350455056
70, -31.250083446656163
70, -100.0497464869576
70, -100.00057220615872
71, -100.0151249655067
70, -106.35848099429474
70, -112.87787069974404
71, -99.9999046455969
70, -99.99990463395534
71, -100.00638972608178
70, -99.99990463286395
70, -100.00066906389122
70, -100.19569443604794
71, -112.8909416501994
